iter	Passed	Remaining
867	8204	6965
868	8213	6956
869	8223	6947
870	8233	6938
871	8242	6928
872	8252	6919
873	8261	6909
874	8271	6900
875	8281	6891
876	8290	6882
877	8300	6873
878	8310	6863
879	8320	6854
880	8329	6845
881	8339	6836
882	8349	6827
883	8359	6818
884	8369	6808
885	8378	6799
886	8387	6789
887	8397	6780
888	8406	6770
889	8415	6761
890	8425	6751
891	8434	6742
892	8443	6732
893	8453	6723
894	8462	6713
895	8472	6704
896	8482	6695
897	8492	6685
898	8501	6676
899	8511	6667
900	8521	6658
901	8531	6649
902	8540	6639
903	8550	6630
904	8560	6621
905	8569	6611
906	8579	6602
907	8589	6593
908	8598	6583
909	8607	6574
910	8617	6564
911	8626	6555
912	8635	6545
913	8645	6535
914	8654	6526
915	8663	6516
916	8673	6507
917	8682	6497
918	8692	6488
919	8702	6479
920	8711	6470
921	8721	6460
922	8731	6451
923	8740	6442
924	8750	6433
925	8760	6423
926	8770	6414
927	8780	6405
928	8789	6395
929	8799	6386
930	8809	6377
931	8818	6368
932	8828	6358
933	8837	6349
934	8847	6339
935	8856	6330
936	8866	6320
937	8875	6311
938	8884	6301
939	8894	6292
940	8903	6282
941	8913	6273
942	8923	6264
943	8933	6255
944	8943	6246
945	8952	6236
946	8962	6227
947	8972	6218
948	8982	6209
949	8991	6199
950	9001	6190
951	9011	6181
952	9021	6171
953	9030	6162
954	9040	6152
955	9049	6143
956	9058	6133
957	9068	6124
958	9077	6114
959	9086	6105
960	9096	6095
961	9105	6086
962	9114	6076
963	9124	6066
964	9133	6057
965	9143	6048
966	9153	6038
967	9163	6029
968	9172	6020
969	9182	6011
970	9192	6001
971	9201	5992
972	9211	5983
973	9221	5974
974	9231	5964
975	9240	5955
976	9250	5946
977	9260	5936
978	9269	5927
979	9278	5917
980	9288	5908
981	9297	5898
982	9306	5888
983	9316	5879
984	9325	5870
985	9335	5860
986	9345	5851
987	9354	5841
988	9364	5832
989	9374	5823
990	9384	5814
991	9394	5805
992	9403	5795
993	9413	5786
994	9423	5777
995	9433	5767
996	9443	5758
997	9452	5749
998	9462	5740
999	9471	5730
1000	9481	5720
1001	9490	5711
1002	9499	5701
1003	9509	5692
1004	9518	5682
1005	9527	5673
1006	9537	5663
1007	9546	5654
1008	9556	5644
1009	9565	5635
1010	9575	5626
1011	9585	5616
1012	9595	5607
1013	9604	5598
1014	9614	5588
1015	9624	5579
1016	9634	5570
1017	9644	5561
1018	9654	5551
1019	9664	5542
1020	9673	5533
1021	9683	5523
1022	9692	5514
1023	9701	5504
1024	9711	5495
1025	9721	5485
1026	9730	5476
1027	9739	5466
1028	9749	5457
1029	9758	5447
1030	9768	5438
1031	9778	5429
1032	9788	5419
1033	9797	5410
1034	9807	5401
1035	9817	5391
1036	9827	5382
1037	9836	5373
1038	9846	5364
1039	9857	5355
1040	9866	5345
1041	9876	5336
1042	9886	5326
1043	9895	5317
1044	9905	5308
1045	9914	5298
1046	9923	5288
1047	9933	5279
1048	9942	5269
1049	9951	5260
1050	9960	5250
1051	9970	5241
1052	9979	5231
1053	9989	5222
1054	9999	5212
1055	10009	5203
1056	10019	5194
1057	10029	5185
1058	10039	5175
1059	10048	5166
1060	10058	5157
1061	10067	5147
1062	10077	5138
1063	10087	5129
1064	10096	5119
1065	10106	5110
1066	10115	5100
1067	10124	5090
1068	10134	5081
1069	10143	5071
1070	10153	5062
1071	10162	5052
1072	10171	5043
1073	10181	5033
1074	10190	5024
1075	10199	5014
1076	10210	5005
1077	10220	4996
1078	10229	4986
1079	10239	4977
1080	10248	4968
1081	10259	4958
1082	10269	4949
1083	10278	4940
1084	10288	4931
1085	10298	4921
1086	10307	4912
1087	10317	4902
1088	10326	4893
1089	10336	4883
1090	10345	4874
1091	10355	4864
1092	10364	4855
1093	10374	4845
1094	10383	4836
1095	10393	4826
1096	10403	4817
1097	10412	4808
1098	10422	4798
1099	10432	4789
1100	10442	4780
1101	10452	4770
1102	10461	4761
1103	10471	4752
1104	10481	4742
1105	10491	4733
1106	10500	4723
1107	10510	4714
1108	10520	4705
1109	10529	4695
1110	10538	4686
1111	10548	4676
1112	10557	4666
1113	10566	4657
1114	10576	4647
1115	10585	4638
1116	10594	4628
1117	10604	4619
1118	10613	4609
1119	10623	4600
1120	10633	4590
1121	10642	4581
1122	10652	4572
1123	10662	4562
1124	10672	4553
1125	10682	4544
1126	10691	4534
1127	10702	4525
1128	10711	4516
1129	10721	4506
1130	10730	4497
1131	10740	4487
1132	10750	4478
1133	10759	4468
1134	10768	4459
1135	10778	4449
1136	10787	4440
1137	10796	4430
1138	10806	4421
1139	10815	4411
1140	10824	4402
1141	10834	4392
1142	10843	4383
1143	10853	4373
1144	10863	4364
1145	10873	4354
1146	10883	4345
1147	10892	4336
1148	10902	4326
1149	10912	4317
1150	10922	4308
1151	10932	4298
1152	10941	4289
1153	10951	4280
1154	10961	4270
1155	10970	4261
1156	10980	4251
1157	10989	4242
1158	10999	4232
1159	11008	4223
1160	11017	4213
1161	11027	4203
1162	11036	4194
1163	11045	4184
1164	11055	4175
1165	11065	4166
1166	11074	4156
1167	11084	4147
1168	11094	4137
1169	11103	4128
1170	11113	4119
1171	11123	4109
1172	11133	4100
1173	11143	4090
1174	11153	4081
1175	11162	4072
1176	11172	4062
1177	11182	4053
1178	11191	4043
1179	11201	4034
1180	11210	4024
1181	11219	4015
1182	11229	4005
1183	11238	3996
1184	11247	3986
1185	11256	3976
1186	11266	3967
1187	11275	3957
1188	11285	3948
1189	11295	3939
1190	11304	3929
1191	11315	3920
1192	11324	3911
1193	11334	3901
1194	11344	3892
1195	11354	3882
1196	11364	3873
1197	11373	3864
1198	11383	3854
1199	11393	3845
1200	11403	3835
1201	11412	3826
1202	11422	3816
1203	11431	3807
1204	11440	3797
1205	11450	3788
1206	11459	3778
1207	11468	3769
1208	11478	3759
1209	11487	3750
1210	11497	3740
1211	11506	3731
1212	11516	3721
1213	11526	3712
1214	11536	3703
1215	11546	3693
1216	11556	3684
1217	11566	3674
1218	11576	3665
1219	11585	3656
1220	11596	3646
1221	11605	3637
1222	11615	3627
1223	11624	3618
1224	11634	3608
1225	11643	3599
1226	11653	3589
1227	11662	3580
1228	11671	3570
1229	11681	3561
1230	11690	3551
1231	11700	3542
1232	11710	3532
1233	11719	3523
1234	11729	3514
1235	11739	3504
1236	11748	3495
1237	11758	3485
1238	11768	3476
1239	11778	3467
1240	11787	3457
1241	11797	3448
1242	11807	3438
1243	11817	3429
1244	11827	3419
1245	11836	3410
1246	11846	3400
1247	11855	3391
1248	11864	3381
1249	11874	3372
1250	11884	3362
1251	11893	3353
1252	11902	3343
1253	11912	3334
1254	11922	3324
1255	11932	3315
1256	11942	3306
1257	11951	3296
1258	11961	3287
1259	11971	3277
1260	11981	3268
1261	11991	3259
1262	12000	3249
1263	12010	3240
1264	12019	3230
1265	12029	3221
1266	12039	3211
1267	12048	3202
1268	12057	3192
1269	12067	3183
1270	12076	3173
1271	12085	3163
1272	12095	3154
1273	12104	3144
1274	12113	3135
1275	12123	3125
1276	12132	3116
1277	12142	3106
1278	12152	3097
1279	12162	3088
1280	12171	3078
1281	12181	3069
1282	12191	3059
1283	12201	3050
1284	12211	3041
1285	12221	3031
1286	12231	3022
1287	12241	3012
1288	12250	3003
1289	12260	2993
1290	12269	2984
1291	12279	2974
1292	12288	2965
1293	12297	2955
1294	12307	2946
1295	12316	2936
1296	12325	2927
1297	12335	2917
1298	12345	2908
1299	12355	2898
1300	12364	2889
1301	12374	2879
1302	12384	2870
1303	12394	2860
1304	12403	2851
1305	12413	2841
1306	12423	2832
1307	12433	2823
1308	12442	2813
1309	12452	2804
1310	12462	2794
1311	12471	2785
1312	12481	2775
1313	12490	2766
1314	12499	2756
1315	12508	2747
1316	12518	2737
1317	12527	2727
1318	12537	2718
1319	12546	2708
1320	12556	2699
1321	12566	2690
1322	12576	2680
1323	12585	2671
1324	12595	2661
1325	12605	2652
1326	12615	2642
1327	12625	2633
1328	12634	2623
1329	12645	2614
1330	12654	2605
1331	12664	2595
1332	12674	2586
1333	12683	2576
1334	12692	2567
1335	12702	2557
1336	12711	2547
1337	12720	2538
1338	12730	2528
1339	12739	2519
1340	12748	2509
1341	12758	2500
1342	12767	2490
1343	12777	2481
1344	12787	2471
1345	12796	2462
1346	12806	2452
1347	12816	2443
1348	12826	2434
1349	12836	2424
1350	12845	2415
1351	12856	2405
1352	12865	2396
1353	12875	2386
1354	12885	2377
1355	12894	2367
1356	12903	2358
1357	12913	2348
1358	12922	2339
1359	12931	2329
1360	12941	2320
1361	12950	2310
1362	12960	2301
1363	12969	2291
1364	12979	2282
1365	12989	2272
1366	12998	2263
1367	13008	2253
1368	13018	2244
1369	13028	2234
1370	13038	2225
1371	13047	2215
1372	13057	2206
1373	13067	2196
1374	13076	2187
1375	13087	2177
1376	13096	2168
1377	13106	2158
1378	13115	2149
1379	13125	2139
1380	13134	2130
1381	13143	2120
1382	13153	2111
1383	13162	2101
1384	13172	2092
1385	13181	2082
1386	13191	2073
1387	13201	2063
1388	13211	2054
1389	13221	2045
1390	13230	2035
1391	13241	2026
1392	13250	2016
1393	13260	2007
1394	13270	1997
1395	13279	1988
1396	13289	1978
1397	13299	1969
1398	13308	1959
1399	13317	1950
1400	13327	1940
1401	13336	1931
1402	13346	1921
1403	13355	1912
1404	13364	1902
1405	13374	1892
1406	13384	1883
1407	13393	1873
1408	13403	1864
1409	13412	1854
1410	13422	1845
1411	13433	1836
1412	13442	1826
1413	13452	1817
1414	13462	1807
1415	13472	1798
1416	13482	1788
1417	13491	1779
1418	13501	1769
1419	13511	1760
1420	13520	1750
1421	13530	1741
1422	13539	1731
1423	13549	1722
